Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
1389082971605553152,cedritos,72,80,LOC,1.0
1389082986059124737,anabelkc1,4,13,PER,0.9214
1389082989410328579,yuriria,10,17,LOC,0.9428
1389082989410328579,covid19,35,42,MISC,0.9997
1389082989410328579,caises,82,88,LOC,0.7305
1389082989410328579,ine,149,152,MISC,0.9881
1389082989410328579,curp,155,159,MISC,0.9998
1389082989410328579,💉👵👴,192,195,MISC,0.9332
1389082989410328579,yuriria gto,199,210,LOC,0.9858
1389082989410328579,//,217,220,MISC,0.9302
1389082990488211465,1000genes,4,13,ORG,0.9504
1389082990488211465,canadá,18,24,LOC,1.0
1389082994191835136,drromainbrunel,4,18,PER,0.9995
1389082994191835136,adenovirus,125,135,MISC,0.9999
1389083004291670016,libertad020,4,15,ORG,0.9999
1389083004291670016,gnb,21,24,ORG,0.9999
1389083004291670016,czbolivar,25,34,ORG,0.9999
1389083004291670016,covid19,87,94,ORG,0.9945
1389083007663890434,dr_julio_medina,4,19,PER,0.9999
1389083007663890434,covid19  coronavirusenuruguay,21,50,MISC,0.9855
1389083007663890434,américa latina,85,99,LOC,0.9998
1389083007663890434,camiabaracon,110,122,ORG,0.9964
1389083008599306240,adela,4,9,PER,0.967
1389083008599306240,micha,10,15,PER,0.9906
1389083008599306240,san luis potosí,66,81,LOC,0.9999
1389083013997383683,noticieroslv,4,16,ORG,0.9938
1389083013997383683,ministro,21,29,PER,0.9589
1389083013997383683,saludsv,34,41,MISC,0.9176
1389083013997383683,franalabi,44,53,PER,0.5247
1389083013997383683,san josé vill,126,139,LOC,0.9999
1389083032372629504,lupenciab,4,13,ORG,0.9801
1389083032372629504,villa la cava,82,95,LOC,0.9999
1389083034952085511,santiago solans portillo,0,24,PER,0.9999
1389083043869216768,armadafanbvzla,4,18,ORG,0.9505
1389083043869216768,cj,33,35,ORG,0.8256
1389083043869216768,nicolasmaduro,37,50,PER,0.982
1389083043869216768,comisión presidencial para la prevención y control de la,81,137,ORG,0.9997
1389083048822648832,mjsanchezperez,4,18,PER,0.9311
1389083051356037121,covid,83,88,MISC,0.9997
1389083052333142018,ditulliojuli,4,16,ORG,0.4858
1389083052333142018,covid,72,77,MISC,0.9999
1389083055231356932,venezuela,0,9,LOC,1.0
1389083055231356932,covid-19,68,76,MISC,0.9999
1389083056502296580,venezuela,0,9,LOC,1.0
1389083056502296580,covid-19,68,76,MISC,0.9999
1389083057676857345,lucialopezchile,4,19,PER,0.9501
1389083057727053825,venezuela,0,9,LOC,1.0
1389083057727053825,covid-19,68,76,MISC,0.9999
1389083061204275202,javiermmoure,4,16,PER,0.9998
1389083061204275202,oms,21,24,ORG,0.9996
1389083061204275202,italia,78,84,LOC,0.8793
1389083061250310144,gu2hail,4,11,ORG,0.5358
1389083061434961920,el_universal_mx,4,19,ORG,0.9985
1389083061434961920,secretaría de salud,24,43,ORG,0.9999
1389083061434961920,méxico,71,77,LOC,0.9999
1389083061434961920,india de covid-19,99,116,MISC,0.999
1389083062525431809,omarmaluk,4,13,ORG,0.9834
1389083062525431809,fabriciovelav,16,29,PER,0.9061
1389083062525431809,eluniversocom,31,44,ORG,0.9781
1389083065021083650,claudia lópez,16,29,PER,0.9999
1389083065855660034,mexico,0,6,MISC,0.9288
1389083065855660034,covid19,7,14,MISC,0.6966
1389083065855660034,lo digo rapido,19,33,MISC,0.8144
1389083065855660034,mexico,105,111,LOC,1.0
1389083073808146433,juangnusmas,4,15,PER,0.9899
1389083093827563527,tealdif,4,11,ORG,0.9991
1389083109824606214,tiamoraradio,4,16,ORG,0.9997
1389083109824606214,covid19,22,29,ORG,0.9997
1389083109824606214,dr marl,130,138,PER,0.9985
1389083111087124481,claudialopez,30,42,PER,0.9985
1389083116724228102,nacional,4,12,ORG,0.9778
1389083116724228102,apertura,14,22,MISC,0.9912
1389083116724228102,clausura,25,33,MISC,0.9992
1389083116724228102,triple corona,117,130,MISC,0.9999
1389083131228078080,iohannesgago,4,16,PER,0.999
1389083142779199493,ssalud,4,10,ORG,0.9992
1389083142779199493,vacunas,19,26,MISC,0.6142
1389083142779199493,covid19,34,41,MISC,0.9999
1389083169039818754,dr_julio_medina,4,19,PER,0.9999
1389083169039818754,covid19  coronavirusenuruguay,21,50,MISC,0.9855
1389083169039818754,américa latina,85,99,LOC,0.9998
1389083169039818754,camiabaracon,110,122,ORG,0.9964
1389083174525968384,1000genes,4,13,ORG,0.9136
1389083191273795590,cronica,4,11,ORG,0.909
1389083219669159936,deultimahora,32,44,ORG,0.9994
1389083219669159936,el_universal,53,65,ORG,0.9986
1389083219669159936,segob,113,118,ORG,0.9998
1389083219669159936,somos4t,123,130,ORG,0.9812
1389083219669159936,ine,132,135,ORG,0.9985
1389083227722330114,carolinacorcho,4,18,PER,0.9987
1389083227722330114,covid,115,120,MISC,0.9405
1389083234781237250,gripe a,46,53,MISC,0.9499
1389083238921035779,coronavirusnewv,4,19,ORG,0.6939
1389083238921035779,argentina,24,33,LOC,1.0
1389083238921035779,miami,82,87,LOC,1.0
1389083238921035779,covid19,104,111,MISC,0.9999
1389083242830221313,billgates,29,38,ORG,0.9997
1389083242830221313,venezuela,101,110,LOC,1.0
1389083243878752258,marinojgonzalez,4,19,PER,0.6821
1389083243878752258,academia nacional de medicina,33,62,ORG,0.9999
1389083243878752258,anm,64,67,ORG,1.0
1389083243878752258,covid-19,91,99,MISC,0.9999
1389083243878752258,venezuela,103,112,LOC,1.0
1389083244243701761,carolinacorcho,4,18,PER,0.9987
1389083244243701761,covid,115,120,MISC,0.9405
1389083246554648576,fionalapri,4,14,ORG,0.997
1389083246554648576,kever güenza,16,28,PER,0.9999
1389083249566261255,tiamoraradio,4,16,ORG,0.9997
1389083249566261255,covid19,22,29,ORG,0.9997
1389083249566261255,dr marl,130,138,PER,0.9985
