Tweet_ID,Mentions
1439529788130082819,@TheKirkfield
1439529788574769152,@nayibbukele
1439529788671086595,@PlantBasedPB
1439529788671086595,@NotCharLatte
1439529788906090500,@KaylarWill
1439529788948074499,@formerlyashley
1439529789325385731,@EgosShadow7
1439529789371531276,@HappySpaceship
1439529789753266176,@made63843395
1439529791141650441,@LordTolpuddle
1439529791141650441,@BreesAnna
1439529791141650441,@OlooneyJohn
1439529791250698241,@Rschooley
1439529791984652290,@josymistyjazz
1439529791984652290,@lolag70889488
1439529791984652290,@cryptophil92
1439529791984652290,@lsailliet
1439529791984652290,@C8TV
1439529791984652290,@BalanceTonPost
1439529792093700100,@KaylarWill
1439529792542494720,@renechiche
1439529792550760448,@Mhannwella
1439529792681005057,@CotswoldsBloke
1439529792681005057,@KnutCrosswords
1439529792681005057,@jamesrbuk
1439529792681005057,@JamieDT
1439529793935003652,@aDilipak
1439529794161373186,@Mhannwella
1439529796044836864,@northyorkscc
1439529796262842369,@Since71Blog
1439529797445726208,@PMOIRAN
1439529797818929155,@Emerfalen
1439529797936427009,@moviesTVnetwork
1439529798188085248,@FaZeRug
1439529798871576583,@aletweetsnews
1439529799047729153,@SookyBlessingtn
1439529799102484485,@lillithParis
1439529799752437763,@null
1439529800503382021,@EgosShadow7
1439529800801177609,@simsy1977
1439529801325240329,@Goodbridge5
1439529801325240329,@WSJJapanより
1439529802050850817,@WendyRogersAZ
1439529802206040072,@123itsmeMary
1439529802445336586,@AVEmpire3
1439529803195949056,@jamaisvusubunit
1439529803678457858,@rachaelzmurray
1439529803678457858,@seismatters
1439529804827594757,@HGMaassen
1439529805230260225,@HarbRimah
1439529805305847810,@Wynjym
1439529805305847810,@erinotoole
1439529805305847810,@jkenney
1439529805624512517,@CharlesTannock
1439529806232571904,@nashhyyy
1439529806828347395,@UnibetFrance
1439529806924861443,@jamaisvusubunit
1439529807809634304,@genuke1
1439529808115875840,@applepiesx
1439529808971501570,@Nyxries
1439529808971501570,@ygent
1439529809080508424,@Kchartsofflcial
1439529809231716353,@TheFreds
1439529809286139908,@WaterDean
1439529809789472770,@creaminthesoup
1439529810288525314,@Nadesh90021
1439529810582069248,@Kchartsofflcial
1439529810946977796,@bubblytest
1439529810946977796,@lynlinking
1439529810946977796,@WgarNews
1439529812524089352,@fIeurlalisa
1439529812868182019,@VeilleCyber3
1439529813417635844,@steffersline
1439529813438447616,@ellymelly
1439529814013083649,@ANFTCollector
